DATAYEAR,MONTH,UTILITYNUMBER,NETSUMMERCAPACITY(MW),NETWINTERCAPACITY(MW),NAMEPLATECAPACITY(MW),is_coal,is_geothermal,is_hydroelectric,is_natural_gas,is_nuclear,is_oil,is_other/unreported,is_solar,is_wind,MW_COAL,MW_GEOTHERMAL,MW_HYDROELECTRIC,MW_NATURAL_GAS,MW_NUCLEAR,MW_OIL,MW_OTHER,MW_SOLAR,MW_WIND,TOTALREVENUE,TOTALSALES,TOTALCUSTOMERS
2016,1,84,5.4,5.4,5.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,5863.315000000001,52619.079000000005,35170
2016,1,195,13431.800000000003,13431.800000000003,13431.800000000003,0.2441860465116279,0.0,0.47674418604651164,0.2441860465116279,0.023255813953488372,0.011627906976744186,0.0,0.0,0.0,7861.4,0.0,1673.6999999999998,2123.7,1757.0,16.0,0.0,0.0,0.0,439393.0,4872926.0,1459675
2016,1,213,196.60000000000002,196.60000000000002,196.60000000000002,0.0,0.0,0.3448275862068966,0.0,0.0,0.6551724137931034,0.0,0.0,0.0,0.0,0.0,102.7,0.0,0.0,93.89999999999999,0.0,0.0,0.0,4283.966,39417.825999999994,16776
2016,1,219,42.699999999999996,42.699999999999996,42.699999999999996,0.0,0.0,0.21052631578947367,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,28.300000000000004,0.0,0.0,0.0,1470.8070000000005,5414.652000000001,7639
2016,1,221,54.69999999999998,54.69999999999998,54.69999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.69999999999998,0.0,0.0,0.0,5015.0,11093.0,10887
2016,1,261,754.0,754.0,754.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14144.034,373483.0,1
2016,1,599,382.90000000000003,382.90000000000003,382.90000000000003,0.0,0.0,0.18181818181818182,0.7272727272727273,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,44.4,336.49999999999994,0.0,2.0,0.0,0.0,0.0,12262.225999999997,89573.77300000003,30912
2016,1,733,6856.899999999999,6856.899999999999,6856.899999999999,0.15384615384615385,0.0,0.6538461538461539,0.17307692307692307,0.0,0.0,0.019230769230769232,0.0,0.0,5059.0,0.0,805.9,989.9999999999999,0.0,0.0,2.0,0.0,0.0,285492.0,3093361.0,957758
2016,1,803,9528.300000000001,9528.300000000001,9528.300000000001,0.078125,0.0,0.0,0.609375,0.046875,0.046875,0.0,0.21875,0.0,2307.0,0.0,0.0,3029.0,3937.0,86.0,0.0,169.3,0.0,225083.0,2118652.0,1194532
2016,1,814,6352.099999999999,6352.099999999999,6352.099999999999,0.23529411764705882,0.0,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.0,3317.5,0.0,73.30000000000001,1141.7,1819.6,0.0,0.0,0.0,0.0,138666.74500000005,1716341.0230000005,703972
2016,1,1179,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18960.291,121225.224,148222
2016,1,1857,7.6,7.6,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,179.0,618.0,1898
2016,1,2010,33.4,33.4,33.4,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,27.2,0.0,0.0,0.0,0.0,0.0,2157.0,23341.0,16838
2016,1,2548,79.2,79.2,79.2,0.0,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,7.5,0.0,0.0,19.7,52.0,0.0,0.0,4169.0,28288.0,20551
2016,1,3046,12982.5,12982.5,12982.5,0.08974358974358974,0.0,0.19230769230769232,0.3974358974358974,0.05128205128205128,0.23076923076923078,0.0,0.038461538461538464,0.0,3542.0,0.0,222.0,5028.0,3539.0,587.0,0.0,64.5,0.0,351857.6990000001,4143132.8860000004,1517824
2016,1,3249,65.0,65.0,65.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,42.6,0.0,0.0,0.0,29544.0,213840.0,246223
2016,1,3265,4447.0,4447.0,4447.0,0.10526315789473684,0.0,0.0,0.8421052631578947,0.0,0.05263157894736842,0.0,0.0,0.0,1138.5,0.0,0.0,2681.1000000000004,0.0,627.4,0.0,0.0,0.0,69077.0,671797.0,283188
2016,1,3522,514.7,514.7,514.7,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,495.30000000000007,0.0,0.0,0.0,0.0,0.0,17230.0,105321.0,80285
2016,1,3542,572.0,572.0,572.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,568.0,0.0,0.0,4.0,0.0,0.0,54816.20900000002,508330.65799999994,356299
2016,1,3660,220.0,220.0,220.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,36374.0,448558.0,195416
2016,1,3828,45.79999999999994,45.79999999999994,45.79999999999994,0.0,0.0,0.9012345679012346,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,29.19999999999996,0.0,0.0,16.6,0.0,0.0,0.0,6996.179000000002,65230.286000000015,42363
2016,1,3892,57.0,57.0,57.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,4.0,0.0,0.0,0.0,3885.556,63190.106,6195
2016,1,3989,1071.6,1071.6,1071.6,0.23529411764705882,0.0,0.29411764705882354,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,462.0,0.0,34.6,575.0,0.0,0.0,0.0,0.0,0.0,35956.84399999999,397382.8590000001,222014
2016,1,4226,723.5999999999999,723.5999999999999,723.5999999999999,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,644.2,0.0,79.4,0.0,0.0,0.0,339697.0,1569563.0,2570858
2016,1,4247,31.30000000000002,31.30000000000002,31.30000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.30000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3939.8249999999994,84826.72800000008,107
2016,1,4254,7754.900000000001,7754.900000000001,7754.900000000001,0.17073170731707318,0.0,0.5,0.2926829268292683,0.0,0.012195121951219513,0.0,0.0,0.024390243902439025,2852.0,0.0,2078.1,2768.0,0.0,13.0,0.0,0.0,43.8,348642.0,2881253.0,1803400
2016,1,4715,9.2,9.2,9.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,1314.1669999999997,10306.258,11530
